profile,source_center,destination_center,recommendation,ETA_FTL,ETA_Carting,Time_Saved,Net_Benefit_INR,trip_count,pct_delayed,median_factor,Total_Excess_Min
CHRONIC DELAY — Monitor,IND212402AAA,IND211002AAB,CARTING,239.1,40.4,-198.6,-0.1,28,1.0,3.722,21043.0
CHRONIC DELAY — Monitor,IND416606AAA,IND416510AAA,CARTING,302.1,43.4,-258.7,-0.1,16,1.0,2.05,12803.0
CHRONIC DELAY — Monitor,IND431131AAB,IND431603AAA,CARTING,287.9,173.6,-114.3,-0.1,13,0.923,1.75,8863.0
CHRONIC DELAY — Monitor,IND844505AAB,IND842001AAA,CARTING,743.1,543.5,-199.6,-0.6,11,1.0,12.26,6798.0
CHRONIC DELAY — Monitor,IND847223AAA,IND842001AAA,CARTING,789.8,506.4,-283.3,-0.7,10,1.0,10.535,5620.0
CHRONIC DELAY — Monitor,IND764071AAB,IND530012AAA,CARTING,254.8,41.8,-213.1,-0.1,27,0.852,1.838,4805.0
CHRONIC DELAY — Monitor,IND530012AAA,IND764020AAC,CARTING,188.6,89.6,-99.0,-0.1,15,0.867,3.0,4050.0
CHRONIC DELAY — Monitor,IND743347AAA,IND700053AAA,CARTING,266.0,59.9,-206.1,-0.1,32,1.0,2.4,4041.0
CHRONIC DELAY — Monitor,IND792121AAB,IND786181AAC,CARTING,239.6,37.8,-201.8,-0.1,16,0.938,3.098,3414.0
CHRONIC DELAY — Monitor,IND411014AAA,IND411033AAA,CARTING,211.9,89.9,-122.0,-0.1,31,0.935,2.0,3184.0
CHRONIC DELAY — Monitor,IND211008AAA,IND211002AAB,CARTING,194.2,34.3,-159.9,-0.1,16,1.0,3.667,3081.0
CHRONIC DELAY — Monitor,IND209801AAA,IND209304AAA,CARTING,254.2,58.5,-195.6,-0.1,15,0.8,1.625,2969.0
CHRONIC DELAY — Monitor,IND643212AAA,IND641062AAD,CARTING,297.9,71.5,-226.4,-0.1,20,0.95,2.857,2827.0
CHRONIC DELAY — Monitor,IND798601AAA,IND785001AAA,CARTING,277.1,61.5,-215.5,-0.1,28,1.0,2.955,2728.0
CHRONIC DELAY — Monitor,IND396001AAA,IND395023AAD,CARTING,256.5,59.6,-196.9,-0.1,30,0.833,1.492,2717.0
CHRONIC DELAY — Monitor,IND000000ABG,IND501359AAF,CARTING,188.4,113.8,-74.6,-0.1,31,0.935,2.167,2597.0
CHRONIC DELAY — Monitor,IND401602AAA,IND401501AAA,CARTING,189.0,46.6,-142.4,-0.1,17,1.0,6.519,2511.0
CHRONIC DELAY — Monitor,IND688009AAA,IND686028AAB,CARTING,160.8,73.3,-87.5,-0.1,26,1.0,2.497,2435.0
CHRONIC DELAY — Monitor,IND635601AAB,IND635802AAB,CARTING,298.8,88.4,-210.5,-0.1,33,0.818,3.167,2394.0
