source_center,destination_center,median_segment_factor,mean_segment_factor,median_factor,trip_count,pct_delayed,median_actual_time,median_osrm_time,median_osrm_distance,total_excess_time,avg_excess_time,is_chronic_delay
IND000000AAL,IND411033AAA,2.1666666666666665,2.7053980893420175,2.1666666666666665,27,1.0,29.0,15.0,14.1488,879.0,32.55555555555556,True
IND000000AAS,IND783370AAC,1.833333333333333,2.58045318610536,1.7112794612794615,18,1.0,35.0,14.5,20.94415,444.0,24.666666666666668,True
IND000000AAZ,IND444203AAA,3.208333333333333,4.059095860566448,4.365853658536586,3,1.0,101.0,24.0,32.8635,432.0,144.0,True
IND000000AAZ,IND444303AAA,2.266183574879227,2.266183574879227,3.0217391304347827,2,1.0,79.5,34.0,46.85345,144.0,72.0,True
IND000000ABA,IND683565AAA,1.0,1.1384615384615384,1.0,5,0.2,22.0,21.0,18.699,9.0,1.8,False
IND000000ABD,IND562132AAA,1.4285714285714286,1.5840831675646816,1.6409012020312401,144,0.7638888888888888,44.5,29.0,29.4662,19423.0,134.88194444444446,True
IND000000ABG,IND501359AAF,2.1666666666666665,5.674524982186273,2.090909090909091,31,0.9354838709677419,19.0,11.0,11.1909,2597.0,83.7741935483871,True
IND000000ACA,IND140406AAA,1.7421052631578946,2.1973684210526314,1.699248120300752,6,1.0,24.0,15.0,22.3552,131.0,21.833333333333332,True
IND000000ACA,IND142001AAB,1.5,1.5989399048805522,1.5043859649122808,32,0.90625,24.0,16.0,22.734099999999998,790.0,24.6875,True
IND000000ACA,IND142401AAA,2.40625,3.0567103443941677,2.2875,12,0.8333333333333334,24.0,15.5,21.7502,378.0,31.5,True
IND000000ACA,IND143001AAA,1.625,1.69140989729225,1.619718309859155,7,1.0,31.0,17.0,25.1575,322.0,46.0,True
IND000000ACA,IND144001AAB,1.6111111111111112,1.7897772009061261,1.580128205128205,42,0.9761904761904762,28.0,17.0,25.20265,968.0,23.047619047619047,True
IND000000ACA,IND144514AAA,1.2487179487179487,1.8824946005230385,1.2487179487179487,24,0.5416666666666666,38.5,34.5,30.464000000000002,886.0,36.916666666666664,True
IND000000ACA,IND147301AAA,2.3202614379084965,2.4883040935672516,2.0980392156862746,4,1.0,34.0,17.0,23.08685,132.0,33.0,True
IND000000ACA,IND152026AAA,1.411764705882353,1.5602757769774576,1.514018691588785,7,0.8571428571428571,24.0,17.0,22.7161,233.0,33.285714285714285,True
IND000000ACA,IND160002AAC,1.8708333333333333,2.1176008792523477,1.9445564516129032,244,0.9631147540983607,30.0,15.0,22.3579,10431.0,42.75,True
IND000000ACB,IND000000AEL,1.7,2.3501816729830707,1.7636363636363637,101,0.8316831683168316,19.0,11.0,11.2197,4087.0,40.46534653465346,True
IND000000ACB,IND110024AAA,1.7571428571428571,2.163602102685565,2.098148148148148,36,0.9166666666666666,21.5,12.0,12.1812,1687.0,46.861111111111114,True
IND000000ACB,IND110030AAD,1.577777777777778,1.9185929760986595,1.715686274509804,108,0.7222222222222222,12.0,9.0,10.3995,3278.0,30.35185185185185,True
IND000000ACB,IND110037AAK,1.5,2.0000702799615846,1.5465860597439545,106,0.7924528301886793,15.0,9.0,10.20955,1974.0,18.62264150943396,True
IND000000ACB,IND110043AAA,1.9,2.4335767153074843,2.026315789473684,39,0.7948717948717948,16.0,9.0,10.0493,1326.0,34.0,True
IND000000ACB,IND110043AAC,1.5555555555555556,2.5720598546811138,1.8,45,0.9777777777777777,18.0,13.0,13.7966,1585.0,35.22222222222222,True
IND000000ACB,IND110052AAA,1.5,1.892203548085901,1.3333333333333333,14,0.7857142857142857,13.0,9.0,9.8728,241.0,17.214285714285715,True
IND000000ACB,IND110064AAA,1.3693181818181817,1.9845864803531899,1.4726911618669314,226,0.6592920353982301,13.0,10.0,10.67975,6465.0,28.606194690265486,True
IND000000ACB,IND110085AAB,1.4666666666666666,2.3513071084136934,1.5945945945945943,123,0.7317073170731707,14.0,10.0,10.7331,3664.0,29.788617886178862,True
IND000000ACB,IND110092AAC,1.3333333333333333,2.043092031193535,1.627906976744186,35,0.5714285714285714,13.0,11.0,11.3937,983.0,28.085714285714285,True
IND000000ACB,IND110095AAB,1.375,2.041953706162166,2.1225,192,0.5520833333333334,13.0,11.0,11.116,12414.0,64.65625,True
IND000000ACB,IND121002AAB,1.6923076923076923,2.542866784636305,1.6363636363636365,225,0.8444444444444444,20.0,11.0,11.4849,7590.0,33.733333333333334,True
IND000000ACB,IND121004AAB,1.6666666666666667,2.426580038818601,1.5925925925925926,135,0.8888888888888888,18.0,11.0,11.2424,3874.0,28.696296296296296,True
IND000000ACB,IND122001AAA,1.3333333333333333,2.242463601802694,1.4166666666666667,149,0.6174496644295302,14.0,10.0,10.759,2238.0,15.020134228187919,True
IND000000ACB,IND122015AAC,2.0,3.1893939393939394,1.95,8,0.875,19.0,9.0,10.053799999999999,203.0,25.375,True
IND000000ACB,IND124103AAA,1.5185185185185186,1.7695025619783165,1.7142857142857142,21,0.9523809523809523,39.0,24.0,24.9787,735.0,35.0,True
IND000000ACB,IND124112AAA,1.5666666666666669,2.7999090401469084,1.9518072289156627,25,0.84,36.0,25.0,24.0575,1563.0,62.52,True
IND000000ACB,IND125001AAA,1.6324999999999998,1.967791831931367,2.0241830065359476,98,0.9489795918367347,36.0,25.0,23.883,8626.0,88.0204081632653,True
